,userid,user_state,event_name,event_attributes,event_created_date,event_platform,device_manufacture,device_model,month
29,017f4557810b3ba165d2959c17b916b6,TX,Email Confirmation Success,"{""Required"":""true""}",2022-01-17 00:01:19,ios,Apple,iPhone13,1
30,017f4557810b3ba165d2959c17b916b6,TX,Account Setup Skip,{},2022-01-17 00:02:19,ios,Apple,iPhone13,1
31,da823e0efb16f00e73e2cbf1d8951649,TX,Sign Up Success,"{""Method"":""Email""}",2022-01-17 00:03:21,ios,Apple,iPhone12,1
32,017f4557810b3ba165d2959c17b916b6,TX,Add Payment Method Success,"{""Tokenized Pay"":""Apple Pay"",""Payment Method"":""Debit""}",2022-01-17 00:03:44,ios,Apple,iPhone13,1
33,da823e0efb16f00e73e2cbf1d8951649,TX,Email Confirmation Success,"{""Required"":""true""}",2022-01-17 00:03:52,ios,Apple,iPhone12,1
34,017f4557810b3ba165d2959c17b916b6,TX,Subscription Premium,"{""Start Date"":""2022-01-16"",""Renewal Date"":""2022-02-17"",""Membership Type"":""Monthly""}",2022-01-17 00:04:58,outofband,outofband,outofband,1
35,da823e0efb16f00e73e2cbf1d8951649,TX,Add Vehicle Success,"{""Year"":""2020"",""Model"":""Kicks"",""Temporary"":""false"",""Color"":""Black"",""Make"":""Nissan""}",2022-01-17 00:06:18,ios,Apple,iPhone12,1
36,017f4557810b3ba165d2959c17b916b6,TX,Email Confirmation Success,"{""Required"":""true""}",2022-01-17 00:07:55,ios,Apple,iPhone13,1
37,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:08:16,ios,Apple,iPhone13,1
38,017f4557810b3ba165d2959c17b916b6,TX,Add Vehicle Success,"{""Make"":""Honda"",""Model"":""Accord"",""Temporary"":""false"",""Color"":""White"",""Year"":""2012""}",2022-01-17 00:10:45,ios,Apple,iPhone13,1
39,da823e0efb16f00e73e2cbf1d8951649,TX,Add Payment Method Success,"{""Payment Method"":""Credit""}",2022-01-17 00:11:25,ios,Apple,iPhone12,1
40,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:15:16,ios,Apple,iPhone13,1
41,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:15:22,ios,Apple,iPhone13,1
42,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:17:38,ios,Apple,iPhone13,1
43,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:19:40,ios,Apple,iPhone13,1
44,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:21:33,ios,Apple,iPhone13,1
45,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:21:39,ios,Apple,iPhone13,1
46,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Opened,"{""From"":""Menu""}",2022-01-17 00:21:59,ios,Apple,iPhone13,1
47,50b02ade5133cc6c9da2573f5deb489e,VA,Wallet Opened,{},2022-01-15 02:06:43,ios,Apple,iPhone13,1
48,779f1b3e348e1483627bc2010659920f,FL,Sign Up Success,"{""Method"":""Google""}",2022-01-15 02:57:43,android,motorola,moto,1
49,779f1b3e348e1483627bc2010659920f,FL,Add Vehicle Success,"{""Make"":""Buick"",""Model"":""Enclave"",""Color"":""Silver"",""Year"":""2021"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 03:00:04,android,motorola,moto,1
50,779f1b3e348e1483627bc2010659920f,FL,Account Setup Profile Skip,"{""Screen"":""Address""}",2022-01-15 03:03:33,android,motorola,moto,1
51,779f1b3e348e1483627bc2010659920f,FL,Account Setup Profile Skip,"{""Screen"":""Phone Number""}",2022-01-15 03:03:37,android,motorola,moto,1
52,1ff8d11406caf7fa1a6280814860d526,CA,Sign Up Success,"{""Method"":""Email""}",2022-01-15 03:40:52,ios,Apple,iPhone12,1
53,1ff8d11406caf7fa1a6280814860d526,CA,Email Confirmation Success,"{""Required"":""true""}",2022-01-15 03:41:12,ios,Apple,iPhone12,1
54,1ff8d11406caf7fa1a6280814860d526,CA,Add Vehicle Success,"{""Year"":""2006"",""Model"":""XC90"",""Temporary"":""false"",""Color"":""Blue"",""Make"":""Volvo""}",2022-01-15 03:42:56,ios,Apple,iPhone12,1
55,c8d4d395f6b45f1ddd6ab9f29180f54a,TX,Account History Transaction Details,"{""Type"":""Auto Payment"",""Navigated From"":""account_history""}",2022-01-15 03:54:04,ios,Apple,iPhone14,1
56,18513686d0892dc983474752ca549f4c,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-15 04:12:15,android,Yulong,Yulong,1
57,18513686d0892dc983474752ca549f4c,CA,Add Vehicle Success,"{""Make"":""Chrysler"",""Model"":""Town and Country"",""Color"":""White"",""Year"":""2004"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 04:14:27,android,Yulong,Yulong,1
58,e09b1b53416079c42a053ab9f70650c3,DE,Sign Out,"{""Type"":""Manual""}",2022-01-15 04:39:44,android,samsung,SM-G9,1
59,e09b1b53416079c42a053ab9f70650c3,DE,Add Vehicle Success,"{""Make"":""Pontiac"",""Model"":""G8"",""Color"":""Blue"",""Year"":""2009"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 04:46:30,android,samsung,SM-G9,1
60,e09b1b53416079c42a053ab9f70650c3,DE,Add Vehicle Break,{},2022-01-15 04:50:22,android,samsung,SM-G9,1
61,e09b1b53416079c42a053ab9f70650c3,DE,Add Vehicle Success,"{""Make"":""Cadillac"",""Model"":""Escalade"",""Color"":""Beige"",""Year"":""2017"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 04:51:34,android,samsung,SM-G9,1
62,e09b1b53416079c42a053ab9f70650c3,DE,Chat Conversation Started,{},2022-01-15 04:52:10,android,samsung,SM-G9,1
63,e09b1b53416079c42a053ab9f70650c3,DE,Chat Conversation Started,{},2022-01-15 04:52:20,android,samsung,SM-G9,1
64,43235efb2fb9142693fd705fb4a760f5,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-15 04:58:36,android,Wingtech,Wingtech,1
65,43235efb2fb9142693fd705fb4a760f5,CA,Add Vehicle Break,{},2022-01-15 04:59:34,android,Wingtech,Wingtech,1
66,2524f7c94a6d336648a64370b767357a,CA,Account History Transaction Details,"{""Navigated From"":""Account History"",""Status"":""Pending"",""Type"":""Violation Transaction""}",2022-01-15 05:04:37,android,OnePlus,ONEPLUS A6013,1
67,43235efb2fb9142693fd705fb4a760f5,CA,Chat Conversation Opened,"{""From"":""Menu"",""Transaction type"":""""}",2022-01-15 05:09:04,android,Wingtech,Wingtech,1
68,43235efb2fb9142693fd705fb4a760f5,CA,Chat Conversation Started,{},2022-01-15 05:09:04,android,Wingtech,Wingtech,1
69,38fbfd3be668e467874360d7fb32a76d,CA,Sign Up Success,"{""Method"":""Email""}",2022-01-15 07:28:35,ios,Apple,iPhone13,1
70,38fbfd3be668e467874360d7fb32a76d,CA,Email Confirmation Success,"{""Required"":""true""}",2022-01-15 07:30:08,ios,Apple,iPhone13,1
71,38fbfd3be668e467874360d7fb32a76d,CA,Add Vehicle Break,{},2022-01-15 07:30:33,ios,Apple,iPhone13,1
72,0d51394c39dbf15021ccd09155ee6257,FL,Order,"{""Premium Membership"":""True""}",2022-01-15 09:23:48,outofband,outofband,outofband,1
74,0d51394c39dbf15021ccd09155ee6257,FL,Order,"{""Premium Membership"":""True""}",2022-01-15 10:16:12,outofband,outofband,outofband,1
76,017f4557810b3ba165d2959c17b916b6,TX,Chat Conversation Started,{},2022-01-17 00:22:23,ios,Apple,iPhone13,1
77,94f0692535fe30016aed5c72228cc15d,IL,Sign Up Success,"{""Method"":""Apple""}",2022-01-17 00:43:53,ios,Apple,iPhone12,1
78,94f0692535fe30016aed5c72228cc15d,IL,Account Setup Skip,{},2022-01-17 00:44:45,ios,Apple,iPhone12,1
79,ce5e12da979c5968f141f3aa9df94575,CA,Add Payment Method Failed,"{""Error Code"":""ERROR-16010"",""Payment Method"":""Credit Card"",""Error Message"":""Card is debit but credit is required.""}",2022-01-17 01:09:15,ios,Apple,iPhone12,1
80,ce5e12da979c5968f141f3aa9df94575,CA,Add Payment Method Success,"{""Payment Method"":""Credit""}",2022-01-17 01:13:08,ios,Apple,iPhone12,1
81,c67290d72ec2974aba0f3975c1773405,FL,Sign Up Success,"{""Method"":""Apple""}",2022-01-17 01:25:17,ios,Apple,iPhone13,1
82,c3b700146531b35d8da7914f78612475,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-17 01:28:03,android,samsung,SM-A0,1
83,c67290d72ec2974aba0f3975c1773405,FL,Add Vehicle Success,"{""Make"":""Ford"",""Model"":""Fiesta"",""Temporary"":""false"",""Color"":""Green"",""Year"":""2014""}",2022-01-17 01:28:52,ios,Apple,iPhone13,1
84,c67290d72ec2974aba0f3975c1773405,FL,Add Payment Method Success,"{""Payment Method"":""Debit""}",2022-01-17 01:31:09,ios,Apple,iPhone13,1
85,c67290d72ec2974aba0f3975c1773405,FL,Subscription Premium,"{""Start Date"":""2022-01-16"",""Renewal Date"":""2022-02-17"",""Membership Type"":""Monthly""}",2022-01-17 01:31:29,outofband,outofband,outofband,1
86,64051c2d07561f99edfb69bc50841b43,CA,Sign Up Success,"{""Method"":""Facebook""}",2022-01-17 01:44:26,ios,Apple,iPhone13,1
87,298030a5d4d66befb810dae895761e27,WI,Wallet Opened,{},2022-01-17 03:06:26,ios,Apple,iPhone13,1
88,eb441490d8396caa881ee2b2faefe08f,FL,Sign Up Success,"{""Method"":""Email""}",2022-01-17 03:41:08,android,samsung,SM-A2,1
89,eb441490d8396caa881ee2b2faefe08f,FL,Chat Conversation Opened,"{""From"":"""",""Transaction type"":""""}",2022-01-17 03:41:56,android,samsung,SM-A2,1
90,eb441490d8396caa881ee2b2faefe08f,FL,Chat Conversation Started,{},2022-01-17 03:41:56,android,samsung,SM-A2,1
91,eb441490d8396caa881ee2b2faefe08f,FL,Add Vehicle Success,"{""Make"":""Scion"",""Model"":""tC"",""Color"":""White"",""Year"":""2008"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-17 03:45:58,android,samsung,SM-A2,1
92,9e320986489d0baeab6b7533b095a9d8,CA,Add Vehicle Success,"{""Make"":""Jeep"",""Model"":""Cherokee"",""Temporary"":""false"",""Color"":""Black"",""Year"":""2021""}",2022-01-17 03:52:04,ios,Apple,iPhone12,1
93,ed09ebeba14600a9ff4defc64e32503c,other,Sign Up Success,"{""Method"":""Email""}",2022-01-17 04:40:32,ios,Apple,iPhone11,1
94,4949c7b6dfa8cef23d641fd98d50ab18,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 06:42:11,outofband,outofband,outofband,1
95,dd3c7c5c898a4e6a4ed78d6e2c526bed,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 07:34:41,outofband,outofband,outofband,1
96,dd3c7c5c898a4e6a4ed78d6e2c526bed,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 07:35:44,outofband,outofband,outofband,1
97,dd3c7c5c898a4e6a4ed78d6e2c526bed,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 07:35:47,outofband,outofband,outofband,1
98,dd3c7c5c898a4e6a4ed78d6e2c526bed,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 07:37:17,outofband,outofband,outofband,1
99,dd3c7c5c898a4e6a4ed78d6e2c526bed,TX,Order,"{""Premium Membership"":""True""}",2022-01-17 07:37:33,outofband,outofband,outofband,1
101,aae9da3e4886f064c8761202132dec19,FL,Email Confirmation Success,"{""Required"":""true""}",2022-01-17 07:45:53,ios,Apple,iPhone12,1
102,aae9da3e4886f064c8761202132dec19,FL,Add Vehicle Break,{},2022-01-17 07:48:11,ios,Apple,iPhone12,1
103,4cb970b0a827d7a56dd1f61d6afd27bf,NY,Sign Up Success,"{""Method"":""Google""}",2022-01-17 08:31:58,ios,Apple,iPhone13,1
104,5b9177a024643c0a3c15943d08472dde,TX,Sign Up Success,"{""Method"":""Apple""}",2022-01-17 09:30:15,ios,Apple,iPhone13,1
105,5b9177a024643c0a3c15943d08472dde,TX,Add Vehicle Break,{},2022-01-17 09:30:47,ios,Apple,iPhone13,1
106,48963c9be962a86722722a7c5b2c998d,CT,Sign Up Success,"{""Method"":""Email""}",2022-01-17 12:56:37,android,motorola,moto,1
107,48963c9be962a86722722a7c5b2c998d,CT,Email Confirmation Success,{},2022-01-17 13:01:52,android,motorola,moto,1
108,922fd709f230132011db9de9768cbbe6,TX,Calculator View,{},2022-01-17 13:18:44,ios,Apple,iPhone12,1
109,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Opened,"{""From"":""Menu"",""Transaction type"":""""}",2022-01-17 13:42:19,android,samsung,SM-A0,1
110,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 13:42:19,android,samsung,SM-A0,1
111,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Opened,"{""From"":""Menu"",""Transaction type"":""""}",2022-01-17 13:49:46,android,samsung,SM-A0,1
112,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 13:49:46,android,samsung,SM-A0,1
113,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 13:51:31,android,samsung,SM-A0,1
114,66d1fab17f5b7bcf9e43ae0438a2a6cf,IL,Order,"{""Premium Membership"":""True""}",2022-01-15 11:17:12,outofband,outofband,outofband,1
118,2467ce8593dd0efe1ce5d4b82263bc5c,CA,Add Payment Method Success,"{""Payment Method"":""PayPal"",""Tokenized Pay"":""""}",2022-01-15 13:57:43,android,LGE,LGE,1
119,2467ce8593dd0efe1ce5d4b82263bc5c,CA,Subscription Premium,"{""Start Date"":""2022-01-15"",""Renewal Date"":""2022-02-16"",""Membership Type"":""Monthly""}",2022-01-15 13:58:45,outofband,outofband,outofband,1
120,2467ce8593dd0efe1ce5d4b82263bc5c,CA,Add Vehicle Success,"{""Make"":""Toyota"",""Model"":""Camry"",""Color"":""Silver"",""Year"":""2021"",""Temporary"":""true"",""Start Date"":""Jan 15, 2022"",""End Date"":""Jan 18, 2022"",""Rental state"":""CA""}",2022-01-15 14:06:48,android,LGE,LGE,1
121,9182e94800ca0f8e9094ea3b8f5b169c,other,Sign Up Success,"{""Method"":""Google""}",2022-01-15 14:46:05,android,samsung,samsung,1
122,c86111d22b21740be3ba2d0c46783854,TX,Sign Up Success,"{""Method"":""Google""}",2022-01-15 14:59:22,android,samsung,SM-A5,1
123,c86111d22b21740be3ba2d0c46783854,TX,Add Vehicle Success,"{""Make"":""Nissan"",""Model"":""Rogue"",""Color"":""Black"",""Year"":""2015"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 15:06:12,android,samsung,SM-A5,1
124,c86111d22b21740be3ba2d0c46783854,TX,Add Payment Method Success,"{""Payment Method"":""Debit"",""Tokenized Pay"":""Google Pay""}",2022-01-15 15:09:42,android,samsung,SM-A5,1
125,3470f4afabdbf091c92349cd59b87962,CA,Order,"{""Premium Membership"":""False""}",2022-01-15 15:17:23,outofband,outofband,outofband,1
127,be4d8d331b7217e284c9736c58508e9a,CA,Order,"{""Premium Membership"":""False""}",2022-01-15 15:17:23,outofband,outofband,outofband,1
128,ba93f277d4ab4682aa45c678a6cdb161,FL,Sign Up Success,"{""Method"":""Google""}",2022-01-15 15:44:03,android,motorola,moto,1
129,ebe8a1c284f8f2c974508b2fadc7f55f,CA,Sign Up Success,"{""Method"":""Email""}",2022-01-15 15:44:23,ios,Apple,iPhone10,1
130,ebe8a1c284f8f2c974508b2fadc7f55f,CA,Email Confirmation Success,"{""Required"":""true""}",2022-01-15 15:44:56,ios,Apple,iPhone10,1
131,ebe8a1c284f8f2c974508b2fadc7f55f,CA,Add Vehicle Success,"{""Make"":""Toyota"",""Model"":""Prius V"",""Temporary"":""false"",""Color"":""Red"",""Year"":""2014""}",2022-01-15 15:48:01,ios,Apple,iPhone10,1
132,ba93f277d4ab4682aa45c678a6cdb161,FL,Add Vehicle Success,"{""Make"":""Hyundai"",""Model"":""Elantra"",""Color"":""Beige"",""Year"":""2017"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 15:51:52,android,motorola,moto,1
133,a22abda7a39d747ab674cd13224b375a,FL,Sign Up Success,"{""Method"":""Google""}",2022-01-15 16:05:06,android,LGE,LM-V350,1
134,a22abda7a39d747ab674cd13224b375a,FL,Add Vehicle Success,"{""Make"":""Mercedes-Benz"",""Model"":""C-Class"",""Color"":""White"",""Year"":""2011"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-15 16:07:34,android,LGE,LM-V350,1
135,a22abda7a39d747ab674cd13224b375a,FL,Add Payment Method Success,"{""Payment Method"":""Credit"",""Tokenized Pay"":""Google Pay""}",2022-01-15 16:08:29,android,LGE,LM-V350,1
136,a22abda7a39d747ab674cd13224b375a,FL,Account Setup Profile Skip,"{""Screen"":""Address""}",2022-01-15 16:09:00,android,LGE,LM-V350,1
137,a22abda7a39d747ab674cd13224b375a,FL,Account Setup Profile Skip,"{""Screen"":""Phone Number""}",2022-01-15 16:09:03,android,LGE,LM-V350,1
138,a22abda7a39d747ab674cd13224b375a,FL,Subscription Premium,"{""Start Date"":""2022-01-15"",""Renewal Date"":""2022-02-16"",""Membership Type"":""Monthly""}",2022-01-15 16:09:30,outofband,outofband,outofband,1
139,c8d4d395f6b45f1ddd6ab9f29180f54a,TX,Account History Transaction Details,"{""Type"":""Pro Plan Subscription"",""Navigated From"":""account_history"",""Status"":""Paid""}",2022-01-15 16:51:16,ios,Apple,iPhone14,1
140,2b1ee7c286a9e2286b61669936097916,FL,Sign Up Success,"{""Method"":""Google""}",2022-01-15 16:53:17,android,LGE,LGE,1
141,afdae258ecb7a28509e6d8a292111468,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-15 17:54:10,android,Google,Pixel 6,1
142,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 14:00:22,android,samsung,SM-A0,1
143,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 14:02:37,android,samsung,SM-A0,1
144,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 14:02:58,android,samsung,SM-A0,1
145,ddfd6a4298e15df738efd4daa76403e4,NY,Chat Conversation Started,{},2022-01-17 14:09:12,android,samsung,SM-A0,1
146,ffc566d97935423b6d7a3f9ba211a2b4,TX,Sign Up Success,"{""Method"":""Facebook""}",2022-01-17 14:41:29,android,samsung,SM-G9,1
147,366034352c98c4efbe4fcd7af4be56bc,CA,Add Vehicle Success,"{""Make"":""Jeep"",""Model"":""Cherokee"",""Color"":""Black"",""Year"":""2017"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-17 14:50:53,android,motorola,moto,1
148,838db409e7565bfa896beff8bf7fe023,other,Sign Up Success,"{""Method"":""Email""}",2022-01-17 15:43:30,android,motorola,moto,1
149,1604cf0c9fd2943fd3c59cce56d92063,CA,Sign Up Success,"{""Method"":""Email""}",2022-01-17 15:44:59,ios,Apple,iPhone11,1
150,838db409e7565bfa896beff8bf7fe023,other,Email Confirmation Success,{},2022-01-17 15:45:11,android,motorola,moto,1
151,838db409e7565bfa896beff8bf7fe023,other,Add Vehicle Success,"{""Make"":""Toyota"",""Model"":""Tacoma"",""Color"":""White"",""Year"":""2018"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-17 15:49:17,android,motorola,moto,1
152,67f7ee21393060f86207711face96b90,TX,Sign Up Success,"{""Method"":""Apple""}",2022-01-17 16:09:36,ios,Apple,iPhone13,1
153,67f7ee21393060f86207711face96b90,TX,Subscription Premium,"{""Start Date"":""2022-01-17"",""Renewal Date"":""2022-02-18"",""Membership Type"":""Monthly""}",2022-01-17 16:18:38,outofband,outofband,outofband,1
154,8d98eba8da4d25e9a385bd0960ea9e24,CA,Wallet Opened,{},2022-01-17 17:31:10,ios,Apple,iPhone12,1
155,c44c886d306a6397161d717e20bdeb28,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-17 18:08:46,android,samsung,SM-N9,1
156,410721135340259730336928bb873c01,TX,Sign Up Success,"{""Method"":""Google""}",2022-01-17 19:19:52,android,samsung,SM-G9,1
157,410721135340259730336928bb873c01,TX,Add Vehicle Success,"{""Make"":""Toyota"",""Model"":""Corolla"",""Color"":""Gray"",""Year"":""2013"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-17 19:22:46,android,samsung,SM-G9,1
158,6d02e41c8e9947497e07f058a3f58180,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-17 19:57:38,android,samsung,SM-G9,1
159,6d02e41c8e9947497e07f058a3f58180,CA,Add Vehicle Success,"{""Make"":""Honda"",""Model"":""Civic"",""Color"":""White"",""Year"":""2015"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-17 19:58:36,android,samsung,SM-G9,1
160,6d02e41c8e9947497e07f058a3f58180,CA,Add Payment Method Failed,"{""Error Code"":""ERROR-16010"",""Error Message"":""Card is debit but credit is required."",""Payment Method"":""Credit Card"",""Tokenized Pay"":""""}",2022-01-17 20:00:04,android,samsung,SM-G9,1
161,6d02e41c8e9947497e07f058a3f58180,CA,Add Payment Method Failed,"{""Error Code"":""ERROR-16010"",""Error Message"":""Card is debit but credit is required."",""Payment Method"":""Credit Card"",""Tokenized Pay"":""""}",2022-01-17 20:01:22,android,samsung,SM-G9,1
